07071BNDCTMARIN,115071,PROPYLENE,250
07071BNDCTMARIN,67561,METHANOL,5
07071BNDCTMARIN,7664417,AMMONIA,250
07071GDHSV757PA,71556,111-TRICHLOROETHANE,450
07071SKCRP201PO,100414,ETHYLBENZENE,10
07071SKCRP201PO,1330207,XYLENE (MIXED ISOMERS),49
07071SKCRP201PO,26471625,TOLUENE DIISOCYANATE (MIXED ISOMERS),0
07071SKCRP201PO,N450,MANGANESE COMPOUNDS,0
07071SKCRP201PO,N120,DIISOCYANATES,2
07032STNSN2HACK,N230,CERTAIN GLYCOL ETHERS,10
07071PLYRT624SC,108883,TOLUENE,837
07071PLYRT624SC,N120,DIISOCYANATES,0
07071PLYRT624SC,107211,ETHYLENE GLYCOL,179
07071PLYRT624SC,68122,NN-DIMETHYLFORMAMIDE,212
07071PLYRT624SC,26471625,TOLUENE DIISOCYANATE (MIXED ISOMERS),0
07071PLYRT624SC,584849,TOLUENE-24-DIISOCYANATE,0
