07644HBKNP40IND,N100,COPPER COMPOUNDS,135
07644HKMTL35IND,7439965,MANGANESE,0
07644HKMTL35IND,7440473,CHROMIUM,0
07644HKMTL35IND,7440508,COPPER,0
07644HKMTL35IND,7440020,NICKEL,0
07644LRCHN20MET,7664417,AMMONIA,4093
07644LRCHN20MET,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",250
07644MTHDV169KE,N982,ZINC COMPOUNDS,10
07644SFFRN210GA,N495,NICKEL COMPOUNDS,0
07644BSFCR200GR,108883,TOLUENE,34000
07644BSFCR200GR,1330207,XYLENE (MIXED ISOMERS),1870
07644BSFCR200GR,N982,ZINC COMPOUNDS,0
07644NTRPL199GA,78933,METHYL ETHYL KETONE,5
07644FNRGN205MA,7664382,PHOSPHORIC ACID,0
07644FNRGN205MA,75092,DICHLOROMETHANE,500
07644FNRGN205MA,872504,N-METHYL-2-PYRROLIDONE,0
07644NPPCH199MA,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",11
07644NPPCH199MA,67561,METHANOL,3172
