08638CHLLNMEADE,7440508,COPPER,5
08638CHLLNMEADE,117817,DI(2-ETHYLHEXYL) PHTHALATE,5
08638FFTHD801NE,71556,111-TRICHLOROETHANE,5
08638LBRTYMEADE,108952,PHENOL,350
08638RGSNT335NO,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",500
08605KRMRT1BREU,7440508,COPPER,0
08638NTNLC500SO,1344281,ALUMINUM OXIDE (FIBROUS FORMS),46
08619CSTMP11EAS,N982,ZINC COMPOUNDS,0
08607SWTLK1325E,108883,TOLUENE,8205
08648MTRLS1040A,71556,111-TRICHLOROETHANE,12493
08648MTRLS990SP,71556,111-TRICHLOROETHANE,6049
08638WYRGH4JANE,N982,ZINC COMPOUNDS,0
08638NSSCH1008W,N982,ZINC COMPOUNDS,0
08638NSSCH1008W,N010,ANTIMONY COMPOUNDS,0
08638NSSCH1008W,96457,ETHYLENE THIOUREA,0
08638NSSCH1008W,N420,LEAD COMPOUNDS,0
08638NSSCH1008W,137268,THIRAM,0
