07030HNKLC1301J,111422,DIETHANOLAMINE,0
07030HNKLC1301J,67561,METHANOL,1724
07030HNKLC1301J,79107,ACRYLIC ACID,0
07030MXWLL1125H,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07030MXWLL1125H,1310732,SODIUM HYDROXIDE (SOLUTION),0
07030SCSTN725JE,7439921,LEAD,22
07030STHLS1413W,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07030FRGSN1132C,7440020,NICKEL,500
07030FRGSN1132C,71556,111-TRICHLOROETHANE,250
07030FRGSN1132C,7440508,COPPER,500
07030FRGSN1132C,108101,METHYL ISOBUTYL KETONE,0
