08110JRSMNRT130,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0
08110NBSCF8030N,1310732,SODIUM HYDROXIDE (SOLUTION),0
08110NTDST1650S,1310732,SODIUM HYDROXIDE (SOLUTION),500
08110NTDST1650S,7440020,NICKEL,500
08110NTDST1650S,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",500
08110PPSCL8191R,7664382,PHOSPHORIC ACID,0
08110SCCCR1615S,75569,PROPYLENE OXIDE,12933
08110STMNW1085B,7440508,COPPER,0
08110CLTXC1500J,N120,DIISOCYANATES,128
08110CLTXC1500J,N230,CERTAIN GLYCOL ETHERS,0
