0887WRCHML18USH,75058,ACETONITRILE,75 Pounds
0887WRCHML18USH,75092,DICHLOROMETHANE,96.4 Pounds
08879CLCRPFOOTO,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",255 Pounds
08876TYLRF22REA,7697372,NITRIC ACID,0 Pounds
08876THCNNROUTE,7440473,CHROMIUM,0 Pounds
08876STRTRPOBOX,N420,LEAD COMPOUNDS,250 Pounds
08876RMTCT197ME,N230,CERTAIN GLYCOL ETHERS,3 Pounds
08876RMTCT130IN,N230,CERTAIN GLYCOL ETHERS,0 Pounds
08876QTCCH175ME,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",250 Pounds
08876PRNTN50MEI,872504,N-METHYL-2-PYRROLIDONE,500 Pounds
08876PRNTN50MEI,91203,NAPHTHALENE,10 Pounds
08876JXMFG321VA,1330207,XYLENE (MIXED ISOMERS),23680 Pounds
08876HYDRM35IND,78933,METHYL ETHYL KETONE,0 Pounds
08876HRMNN180IN,N230,CERTAIN GLYCOL ETHERS,0 Pounds
08876HCHSTRTE20,872504,N-METHYL-2-PYRROLIDONE,500 Pounds
08876GSLDSROUTE,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",500 Pounds
08876GFCRP50MEI,109864,2-METHOXYETHANOL,423 Pounds
08876GBSNT100AS,7440473,CHROMIUM,2 Pounds
08876GBSNT100AS,7440508,COPPER,0 Pounds
08876GBSNT100AS,7439965,MANGANESE,1 Pounds
08876GBSNT100AS,7440020,NICKEL,1 Pounds
08876FSHRS755RT,1330207,XYLENE (MIXED ISOMERS),2.7 Pounds
08876FSHRS755RT,75058,ACETONITRILE,21.2 Pounds
08876FSHRS755RT,67663,CHLOROFORM,26.18 Pounds
08876FSHRS755RT,75092,DICHLOROMETHANE,140.62 Pounds
08876FSHRS755RT,107211,ETHYLENE GLYCOL,0 Pounds
08876FSHRS755RT,50000,FORMALDEHYDE,12.92 Pounds
08876FSHRS755RT,N420,LEAD COMPOUNDS,0 Pounds
08876FSHRS755RT,N458,MERCURY COMPOUNDS,0 Pounds
08876FSHRS755RT,67561,METHANOL,961.42 Pounds
08876FSHRS755RT,68122,NN-DIMETHYLFORMAMIDE,0.39 Pounds
08876FSHRS755RT,71363,N-BUTYL ALCOHOL,0.11 Pounds
08876FSHRS755RT,110543,N-HEXANE,45.3 Pounds
08876FSHRS755RT,872504,N-METHYL-2-PYRROLIDONE,0.0013 Pounds
08876FSHRS755RT,110861,PYRIDINE,0.13 Pounds
08876FSHRS755RT,108883,TOLUENE,88.85 Pounds
08876FFLTDRT22,71556,111-TRICHLOROETHANE,0 Pounds
08876DVRNCSOUTH,7664417,AMMONIA,15161 Pounds
08876CLRTC60COR,108101,METHYL ISOBUTYL KETONE,588 Pounds
08876CLRTC60COR,1330207,XYLENE (MIXED ISOMERS),941 Pounds
08876CLRTC60COR,78933,METHYL ETHYL KETONE,1447 Pounds
08876CLRTC60COR,108883,TOLUENE,1069 Pounds
08876BMCSN106ME,N590,POLYCYCLIC AROMATIC COMPOUNDS,0.013 Pounds
08876BMCSN106ME,191242,BENZO(GHI)PERYLENE,0.002 Pounds
08876BHLRF55REA,71556,111-TRICHLOROETHANE,974 Pounds
08875RTRCL187DA,7632000,SODIUM NITRITE,0 Pounds
08875RTRCL187DA,7440666,ZINC (FUME OR DUST),0 Pounds
08875PLSTC2CAMP,N982,ZINC COMPOUNDS,0 Pounds
08873WMZNS39BEL,79107,ACRYLIC ACID,0 Pounds
08873WMZNS39BEL,7664417,AMMONIA,0 Pounds
08873WMZNS39BEL,141322,BUTYL ACRYLATE,1221 Pounds
08873WMZNS39BEL,N230,CERTAIN GLYCOL ETHERS,0 Pounds
08873WMZNS39BEL,140885,ETHYL ACRYLATE,0 Pounds
08873WMZNS39BEL,107211,ETHYLENE GLYCOL,47 Pounds
08873WMZNS39BEL,80626,METHYL METHACRYLATE,396 Pounds
08873WMZNS39BEL,7632000,SODIUM NITRITE,0 Pounds
08873WMZNS39BEL,100425,STYRENE,1357 Pounds
08873WMZNS39BEL,N982,ZINC COMPOUNDS,0 Pounds
08873TMPTC500AP,7440484,COBALT,0 Pounds
08873RLNCN100BE,N420,LEAD COMPOUNDS,0 Pounds
08873RLNCN100BE,N010,ANTIMONY COMPOUNDS,30 Pounds
08873RLNCN100BE,67561,METHANOL,62 Pounds
08873RLNCN100BE,78933,METHYL ETHYL KETONE,648 Pounds
08873RLNCN100BE,108101,METHYL ISOBUTYL KETONE,125 Pounds
08873RLNCN100BE,N495,NICKEL COMPOUNDS,15 Pounds
08873RLNCN100BE,108883,TOLUENE,159 Pounds
08873RLNCN100BE,1330207,XYLENE (MIXED ISOMERS),284 Pounds
08873RLNCN100BE,95636,124-TRIMETHYLBENZENE,710 Pounds
08873PMSCN109NE,N090,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),0 Pounds
08873PMSCN109NE,N420,LEAD COMPOUNDS,13.1 Pounds
08873PMSCN109NE,N982,ZINC COMPOUNDS,0 Pounds
08873NVRSL323CA,7664382,PHOSPHORIC ACID,0 Pounds
08873NNCRB40VER,67561,METHANOL,1503 Pounds
08873MTRLS220CH,7440508,COPPER,0 Pounds
08873MTRLS220CH,N100,COPPER COMPOUNDS,255 Pounds
08873MCRWV100SC,76131,FREON 113,1368 Pounds
08873MCRST150BE,75092,DICHLOROMETHANE,12295 Pounds
08873FNTNT50RAN,N120,DIISOCYANATES,0 Pounds
08873FNTNT400BC,N120,DIISOCYANATES,0 Pounds
08873DNRNN39VER,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",460 Pounds
08873DNRNN39VER,N420,LEAD COMPOUNDS,0.1 Pounds
08873CMTBN1HOWA,7440473,CHROMIUM,0 Pounds
08873CMTBN1HOWA,7439965,MANGANESE,0 Pounds
08873CMTBN1HOWA,7440020,NICKEL,0 Pounds
08872THYLC880MA,127184,TETRACHLOROETHYLENE,5150 Pounds
08872THYLC880MA,107062,12-DICHLOROETHANE,1350 Pounds
08872THYLC880MA,1310732,SODIUM HYDROXIDE (SOLUTION),250 Pounds
08872THYLC880MA,108883,TOLUENE,157000 Pounds
08872SSXSP1CROS,78933,METHYL ETHYL KETONE,29 Pounds
08872SSXSP1CROS,108883,TOLUENE,2072 Pounds
08872SNSHNBORDE,7664417,AMMONIA,75930 Pounds
08872RLNTNRIVER,91203,NAPHTHALENE,13.6 Pounds
08872RLNTNRIVER,N590,POLYCYCLIC AROMATIC COMPOUNDS,15.7 Pounds
08872PHRMT65JER,108316,MALEIC ANHYDRIDE,0 Pounds
08872NWJRSNORTH,N982,ZINC COMPOUNDS,1300 Pounds
08872NWJRSNORTH,N100,COPPER COMPOUNDS,0 Pounds
08872NWJRSNORTH,N150,DIOXIN AND DIOXIN-LIKE COMPOUNDS,0.0007733 Grams
08872NWJRSNORTH,N420,LEAD COMPOUNDS,733 Pounds
08872NWJRSNORTH,N450,MANGANESE COMPOUNDS,289 Pounds
08872NWJRSNORTH,N458,MERCURY COMPOUNDS,54 Pounds
08872NWJRSNORTH,N495,NICKEL COMPOUNDS,5 Pounds
08872CNFLD1SCRO,7439921,LEAD,0.3 Pounds
08869RTHPHPOBOX,67561,METHANOL,1647 Pounds
08869RTHDGROUTE,67561,METHANOL,1545 Pounds
08865WTCCR2555R,7782505,CHLORINE,2415 Pounds
08865WTCCR2555R,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",552 Pounds
08865WTCCR2555R,127184,TETRACHLOROETHYLENE,3200 Pounds
08865TLNTC183SI,N458,MERCURY COMPOUNDS,0.2 Pounds
08865TLNTC183SI,N420,LEAD COMPOUNDS,7.4 Pounds
08865TLNTC183SI,N450,MANGANESE COMPOUNDS,8 Pounds
08865TLNTC183SI,N982,ZINC COMPOUNDS,217 Pounds
08865SPRRQ44CUN,7439976,MERCURY,0 Pounds
08865RBLCR150AN,7439921,LEAD,0 Pounds
08865NGRSL942ME,7440473,CHROMIUM,250 Pounds
08865NGRSL942ME,7440508,COPPER,250 Pounds
08865NCHRC110FO,7439921,LEAD,0.1 Pounds
08865JTBKR600NO,7697372,NITRIC ACID,2792 Pounds
08865JTBKR600NO,75058,ACETONITRILE,819 Pounds
08865JTBKR600NO,7664417,AMMONIA,3548 Pounds
08865JTBKR600NO,120809,CATECHOL,7 Pounds
08865JTBKR600NO,N230,CERTAIN GLYCOL ETHERS,7 Pounds
08865JTBKR600NO,N100,COPPER COMPOUNDS,589 Pounds
08865JTBKR600NO,75092,DICHLOROMETHANE,1410 Pounds
08865JTBKR600NO,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",4187 Pounds
08865JTBKR600NO,N450,MANGANESE COMPOUNDS,336 Pounds
08865JTBKR600NO,67561,METHANOL,2488 Pounds
08865JTBKR600NO,110543,N-HEXANE,3303 Pounds
08865JTBKR600NO,872504,N-METHYL-2-PYRROLIDONE,687 Pounds
08865JTBKR600NO,N495,NICKEL COMPOUNDS,1087 Pounds
08865JTBKR600NO,N511,NITRATE COMPOUNDS,213670 Pounds
08865JTBKR600NO,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",2202 Pounds
08865JTBKR600NO,108883,TOLUENE,178 Pounds
08865JTBKR600NO,N982,ZINC COMPOUNDS,2794 Pounds
08865GLCNCRIVER,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",2000 Pounds
