07012SMTHK65IND,GLAXOSMITHKLINE CONSUMER BRANDS LP,40.844444,74.152778
07012TLDYN350AL,TELEDYNE TUNGSTEN PRODS.,40.841667,74.155556
07012TLNTC810BL,ATLANTIC CASTING & ENGINEERING CORP,40.848333,74.155
07013DKMNL181SA,DIKEMAN LAMINATING INC,40.865,74.156111
07013MSSBR211MO,MISS BRENNER MANUFACTURING INC.,40.860556,74.157222
07013RTRDS700RT,AIR TREADS INC. NY DIV.,40.866667,74.15
07013SLTRN320CO,SEALTRONICS INC. PLATRONICS-SEALS,40.865833,74.155278
07014DLTXP210DE,DELATEX CORPORATION,40.831161,74.130867
07014FLXCT610RI,FLEXICOTE INC.,40.833,74.1231
07014LPHPR210DE,ALPHA PROCESSING CO INC,40.831161,74.130867
07014MDLND481RI,INX INTERNATIONAL INK CO.,40.830556,74.123611
07014RYCLN10ROB,RYCOLINE PRODUCTS LLC,40.828132,74.144907
07014SCPNK2BRID,SICPA INK SYS. CORP.,40.830833,74.135
07014TTHYR24PAR,OTTO H. YORK WIRE DIV.,40.83826,74.13232
07014TTVNC100KI,INTEGRATED ELECTRONIC WARFARE SYSTEMS,40.820833,74.136111
07015BRGHT600GE,BRIGHT STAR INDUSTRIES,40.888889,74.158333
07015CPTLS310CO,CAPITOL SOAP CORP,40.87143,74.16367
07015GVDNC125DE,GIVAUDAN-ROURE CORP.,40.829444,74.130556
07015NTNLS71471,NATIONAL STANDARD CO.,40.872222,74.1575
07015NTRNT50PAG,RITE INDUSTRIES INC IDC DIV.,40.865833,74.155278
07015PCQTN10CLI,PACQUET ONEIDA INC.,40.865833,74.155278
07015RMPCF61KIL,REMPAC FOAM CORP.,40.891652,74.16566
07015SWPCT1CLIF,SWEPCO TUBE LLC,40.8618,74.14317
07016CNSTR55WIN,CONSTRUCTION SPECIALTIES INC.,40.6511,74.2932
07016FBRTT22SOU,E F BRITTEN & CO INC,40.653056,74.308889
07016GBSNS90MYR,GIBSON ASSOCIATES INC,40.651111,74.286667
07016MDNPL370NO,MADAN PLASTICS INC,40.657865,74.292672
07016STRLN945LI,STERLING INDUSTRIES,40.656111,74.303889
07016TCKNT129DE,TECHNICAL WIRE PRODUCTS INC (DBA TECHNIT),40.653611,74.279167
07020CTGNP596RI,OCTAGON PROCESS INC,40.81678,73.98132
07020LSTRL1RIVE,LUSTRELON INC.,40.808333,73.991667
07022STCST101BR,EAST COAST FINISHING CORP,40.81761,74.008523
07026CLCTR125CL,EC ELECTROPLATING INC.,40.8789,74.1084
07026GRDNS950RI,GARDEN STATE PAPER CO. L.L.C.,40.886111,74.129444
07026KLMCH290RI,KALAMA CHEMICAL INC. GARFIELD PLANT,40.875,74.116667
07026LCTRS45OUT,ELECTRO-SCAN INC,40.883056,74.117778
07026LRLRB129GR,STAR-GLO IND. INC. LAUREL RUBBER DIV.,40.871,74.106
07026MRCNB44HEP,AMERICAN BILTRITE INC,40.8674,74.10699
07026PRMXP65RIV,PRIMEX PLASTICS CORP.,40.86357,74.10479
07026THHWL39ATL,HOWIL CORP.,40.878889,74.108611
07027DMNDC500NO,THOMAS & BETTS GARWOOD PLANT,40.653056,74.312222
07027LRMRP520SO,LERMER PACKAGING CORP.,40.651001,74.328744
07029CMPBL800BE,CAMPBELL FOUNDRY CO,40.743889,74.146667
07029CPTLCSANFO,KARLSHAMNS USA INC.,40.7526,74.1207
07029DRVRH308MI,HARRISON ALLOYS INC,40.74,74.155556
07029HNKLHFIRST,HENKEL HARRISON,40.7425,74.164444
07029KRNYS936HA,KEARNY SMELTING & REFINING CORP,40.7482,74.1437
07029LQDCR603BE,LIQUID CARBONIC  SPECIALTY GAS CORP.,40.741944,74.150833
07029NGLHR1WEST,BASF CATALYSTS LLC,40.751389,74.165278
07029NTRXF1000F,INTREX FURNITURE DIV.,40.741667,74.158333
07029RCHMCSOUTH,AURACHEM CORP,40.74,74.1584
07029SCRTY850HA,SECURITY PACKAGING CO. INC.,40.743611,74.154167
07029SRMLN900PA,SARAMAE LINGERIE,40.7438,74.1543
07029STNDR1215H,STANDARD TALLOW CORP.,40.746389,74.1375
07029TNGST306SU,TUNGSTEN ALLOY INC.,40.747222,74.166667
07030FRGSN1132C,FERGUSON PROPELLER INC.,40.745278,74.032222
07030HNKLC1301J,COGNIS CORP,40.7525,74.034167
07030MXWLL1125H,MAXWELL HOUSE COFFEE CO.,40.749444,74.025
07030SCSTN725JE,US CASTINGS CORP,40.7462,74.03629
07030SMPLX50HAR,SIMPLEX CEILING CORP.,40.73715,74.04305
07030STHLS1413W,STAHL SOAP CORP.,40.750278,74.025833
07032BSFCR50CEN,BASF CORP,40.737629,74.105575
07032DRWCH1106H,ASHLAND INC -  KEARNY NJ,40.748611,74.136111
07032DWRFN5361S,DOWER FINISHING & RESEARCH CO INC,40.758611,74.142222
07032FRDRC538FO,FREDERICK GUMM CHEMICAL CO,40.771389,74.139167
07032FRNKL113PA,FRANKLIN BURLINGTON PLASTICS INC,40.7575,74.1618
07032GDYPR969NE,GOODY PRODS. INC.,40.752778,74.102778
07032GRDNR80JAC,GAC KEARNY INC,40.736111,74.1125
07032HWRDC29POR,HAWARD CORP,40.776944,74.128889
07032KHNCH86HAC,KUEHNE CHEMICAL CO INC,40.733333,74.1
07032KLRKS450SC,PMC INC. KLEER KAST DIV.,40.758333,74.133333
07032LLDNV100HA,ALLIED UNIVERSAL CORP,40.734722,74.101389
07032LWTRN24JAC,LAWTER INTERNATIONAL INC.,40.73227,74.11345
07032MNSNTPENNS,MONSANTO CO,40.741944,74.117222
07032PNTST85LIN,PANTASOTE INC. WALLCOVERING DIV.,40.730556,74.108333
07032RDLCS70PEN,RADIAL CASTING CORP.,40.7401,74.1086
07032STNDR1035B,STANDARD CHLORINE CHEMICAL CO. INC.,40.749167,74.099167
07032STNSN2HACK,POLLITT INC.,40.799444,74.116111
07032THHWR100CE,HOWARD MARLBORO GROUP,40.736603,74.10612
07032WNSCRNEWAR,OWENS CORNING ROOFING & ASPHALT LLC,40.743889,74.086944
07033BLBLD123N8,BLUE BLADE STEEL,40.678056,74.303889
07033BLTNG20BOR,BELTING INDUSTRIES CO INC,40.684722,74.309722
07033BMFNS201SO,B & M FINISHERS INC,40.670556,74.29
07033CRWNM38BOR,CROWN METAL FINISHING CO INC,40.682778,74.3025
07033HRTLC141MA,HERTEL CUTTING TECHNOLOGIES INC,40.673889,74.271111
07033LLRCH2MARK,ULLRICH COPPER L P,40.68645,74.29697
07033SCHRN2000G,SCHERING CORP,40.7178,74.427167
07033SPNDL188MA,SPINDLER BROTHERS CO. INC.,40.670833,74.279722
07033SYNRY209NM,SYNRAY CORP,40.681111,74.2875
07033WHTTL40BOR,WHITE TOOL CORP.,40.682778,74.3025
07035HSHPL600FR,HISHI PLASTICS USA INC,40.9175,74.287222
07035NGRRC4BRID,UNGERER & CO.,40.934722,74.311944
07036CNVRT1301S,SUN CHEMICAL SPECIALTY INKS,40.633333,74.216667
07036DCKRS1512W,LUBRIZOL CO,40.62,74.276111
07036DNGLM360DA,D'ANGELO METAL PRODUCTS CO INC,40.623584,74.267033
07036DPNTGENDOF,DU PONT GRASSELLI PLANT,40.6235,74.239
07036GFCHMFOOTO,ISP ENVIRONMENTAL SERVICES INC. LINDEN PLANT,40.621,74.2358
07036GNRLM1016W,GM TRUCK GROUP LINDEN ASSEMBLY,40.618333,74.2575
07036LFLBR5NSTI,TOTAL SPECIALTIES USA INC,40.627778,74.256944
07036LNDNT1900E,LINDEN TECHNOLOGY CENTER,40.644444,74.231389
07036LPHMT3401B,ALPHA METALS INC.,40.6136,74.2273
07036MDTLN1200W,MID ATLANTIC CONTAINER CORP.,40.623626,74.263849
07036MRCNC4900T,CYTEC INDUSTRIES INC,40.599722,74.204167
