cluster-0,40.570833,40.594444,74.240740,74.263220
cluster-1,40.778395,40.785556,74.192142,74.201667
cluster-2,40.866667,40.888820,74.270833,74.285463
cluster-3,40.857170,40.870833,74.306696,74.316667
cluster-4,40.856667,40.868056,74.289444,74.293611
cluster-5,40.865810,40.872222,74.221944,74.230000
cluster-6,40.852778,40.879800,74.128600,74.163670
cluster-7,40.885556,40.896667,74.150000,74.165660
cluster-8,40.853333,40.886111,74.104790,74.129444
cluster-9,40.818056,40.850000,74.123100,74.155556
cluster-10,40.651100,40.657865,74.279167,74.293200
cluster-11,40.691389,40.757500,74.123056,74.204167
cluster-12,40.745278,40.752500,74.025000,74.036290
cluster-13,40.730556,40.741944,74.100000,74.117222
cluster-14,40.799444,40.805556,74.108333,74.119444
cluster-15,40.678056,40.696944,74.287600,74.309722
cluster-16,40.615000,40.627778,74.250000,74.276111
cluster-17,40.642222,40.652778,74.229167,74.237500
cluster-18,40.623500,40.636667,74.239000,74.244700
cluster-19,40.817610,40.848056,73.998056,74.013452
cluster-20,40.784167,40.801620,74.000000,74.021730
cluster-21,40.841944,40.847222,74.416667,74.430833
cluster-22,40.813333,40.844444,74.046389,74.114220
cluster-23,40.594680,40.602778,74.275000,74.283333
cluster-24,40.625000,40.633056,74.306111,74.323611
cluster-25,40.850000,40.860000,74.063889,74.072222
cluster-26,40.563611,40.580000,74.415400,74.432010
cluster-27,40.562778,40.576111,74.395833,74.408056
cluster-28,40.517400,40.550000,74.382222,74.414010
cluster-29,40.539722,40.547222,74.269444,74.277920
cluster-30,40.765278,40.785556,74.145000,74.158611
cluster-31,40.708550,40.724100,74.225833,74.233340
cluster-32,40.633333,40.672942,74.181111,74.202778
cluster-33,40.704444,40.719722,74.088611,74.096389
cluster-34,40.887600,40.911125,74.099722,74.147778
cluster-35,40.901100,40.950000,74.125000,74.186111
cluster-36,40.883200,40.913753,74.208800,74.253399
cluster-37,40.902778,40.914262,74.257640,74.263889
cluster-38,40.860220,40.875000,74.049610,74.059167
cluster-39,40.875000,40.890833,73.979167,73.989293
cluster-40,40.875000,40.886111,74.072500,74.085556
cluster-41,40.998056,41.012500,73.943889,73.951389
cluster-42,40.905000,40.913200,74.492800,74.502778
cluster-43,40.811667,40.822222,74.470556,74.477778
cluster-44,39.966473,39.969444,74.968333,74.972203
cluster-45,39.813889,39.827778,75.200000,75.218333
cluster-46,39.937222,39.952198,75.089722,75.103611
cluster-47,39.974444,39.979640,75.023213,75.041667
cluster-48,40.228333,40.258333,74.735000,74.757778
cluster-49,40.238889,40.244167,74.715000,74.733730
cluster-50,40.055556,40.066667,74.183333,74.190000
cluster-51,40.355292,40.370947,74.478333,74.486740
cluster-52,40.534722,40.541667,74.368056,74.375000
cluster-53,40.551111,40.587778,74.495200,74.512450
cluster-54,40.550000,40.562100,74.516667,74.523320
cluster-55,40.533333,40.550000,74.538056,74.550000
cluster-56,40.466667,40.495556,74.454167,74.482778
